,1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,19,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,101,103,104,105,106,107,108,109,110,111,112,113,115,116,117,118,119,120,121,122,123,125,126,127,128,129,131,132,133,134,135,136,137,138,139,140,141,143,144,145,146,147,148,149,150,153,154,155,156,157,158,159,160,162,164,165,166,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,185,186,187,188,189,190,192,193,196
1,0.0,2.8065,132.374,294.16,0.8869,2.7578,9.0836,0.8383,9.9917,23.5767,130.015,265.5257,2.9159,206.6241,292.8878,61.7763,7.3508,2.3445,147.2412,278.4296,33.072,292.698,6.0739,282.8083,23.7414,10.3792,296.2982,62.3044,1.6245,9.4514,7.2404,263.166,77.421,133.1981,57.3776,260.4017,133.2293,291.0222,332.7528,133.6442,1.5705,5.6126,120.4937,134.7889,0.9186,3.3302,4.1283,4.4184,3.7344,2.7471,2.002,4.1674,12.0853,3.6924,3.5494,5.9381,4.9744,3.9405,9.0478,22.8504,45.5472,37.1452,2.1786,4.627,9.8582,12.9279,3.6562,7.0161,6.7279,5.0939,9.1179,9.5191,8.8774,6.0879,7.167,0.8754,3.4512,8.1043,7.7454,21.6533,6.5419,11.9953,8.9697,8.2325,12.4263,1.8922,3.6771,13.5702,12.2164,2.9978,7.9363,8.4825,7.4592,8.5092,4.271,13.4231,1.1507,1.6814,7.5985,5.8518,9.1744,10.1397,6.9037,11.7459,293.2219,18.1224,8.1903,12.1659,116.7009,7.5013,6.722,25.5664,261.3636,134.806,9.4941,1.7416,26.3916,60.3588,154.4848,38.9494,30.344,4.9787,35.2902,58.6876,14.2042
2,2.8065,0.0,134.7573,296.8588,1.9398,1.8137,10.4342,3.4322,10.6266,24.7157,132.36,268.1304,1.6835,209.1965,295.585,63.3903,6.7127,1.3555,149.5621,281.1006,34.2471,295.4077,8.8638,285.5425,24.644,12.3274,298.9957,63.844,3.421,6.7891,8.7656,265.7778,79.2165,135.5463,58.9847,263.01,135.5136,293.7143,333.7316,136.0391,1.4095,3.0614,122.8094,137.1946,1.9083,3.2645,4.7478,5.3939,6.4989,4.4484,2.0176,3.6943,9.7577,2.8782,2.6681,3.7995,6.4379,6.3199,10.6006,21.2462,47.739,39.2183,1.3357,7.4283,10.6318,11.7994,4.0805,9.2148,5.852,7.6925,6.5754,9.9285,7.9176,3.6884,5.3556,2.8196,3.0873,7.5645,9.8639,23.3176,9.3454,12.9157,10.7045,8.404,14.4428,3.5489,1.2323,15.2319,11.6247,3.4012,6.5207,9.7158,6.3461,5.9213,2.7411,14.5226,2.3525,4.1138,8.0229,5.877,11.2592,9.4092,8.1386,12.8087,295.9248,18.1481,9.8849,12.6627,119.4427,6.4995,8.1207,25.9986,263.9662,137.1627,8.4051,2.7517,27.4786,62.066,156.9099,40.3766,31.6109,3.7538,35.5666,60.2329,12.4118
3,132.374,134.7573,0.0,171.0618,133.1966,135.1178,125.194,132.2212,126.5363,114.4125,4.1097,137.2754,133.5707,78.1618,169.689,79.8138,131.5413,133.5279,15.9101,153.6046,107.0781,170.5851,127.7613,163.5459,115.8973,122.619,173.0524,80.8101,131.3427,138.9084,126.4215,135.2699,64.1603,3.2228,83.3019,132.3899,8.5585,167.4615,241.7966,1.6565,133.373,137.8161,13.1741,3.1813,133.0566,132.0793,130.5971,129.819,129.7748,130.3248,132.8,132.2596,138.4171,135.8875,133.0306,135.1962,128.5678,128.4882,124.7354,154.0437,125.922,128.5501,133.484,128.69,126.1975,143.8906,131.2136,125.5442,132.2906,127.2974,138.029,127.5439,132.1445,138.3952,134.6728,132.9417,135.4884,131.0486,124.9163,113.0045,127.0955,124.1648,124.402,128.984,120.4917,133.2155,134.8718,120.3409,130.0672,134.7017,139.9311,125.9932,132.7827,137.8916,133.8051,122.4208,133.4322,132.1202,128.6821,130.6011,123.5535,131.1216,127.309,123.8604,170.4926,124.814,125.2116,125.621,95.7274,139.1294,133.9583,118.3787,133.0843,3.3987,140.9057,132.0161,112.688,79.2918,22.5209,100.1069,108.3058,133.2829,115.4652,83.3499,136.0407
4,294.16,296.8588,171.0618,0.0,295.0424,296.7183,288.7514,293.7821,290.6737,280.6504,174.7773,40.8215,296.0368,93.6182,1.4087,249.9676,295.2857,295.8291,161.4537,18.517,274.7609,4.5269,288.6015,18.4924,282.4504,285.7607,2.1867,251.1686,293.5164,302.2563,289.5581,41.1477,234.9894,171.8971,253.061,43.7727,174.8174,4.0078,285.689,169.439,295.4546,299.7701,184.2015,167.9564,294.9863,294.7791,293.4632,292.6839,290.9033,292.6954,295.1069,295.1759,302.673,297.2161,295.7385,298.2744,291.3765,290.6116,288.1286,312.8908,271.1416,277.3506,295.7419,289.8286,290.2441,303.5228,293.9871,288.0481,295.8623,289.171,301.4908,291.6647,296.2513,300.1967,298.169,294.5185,296.7325,294.9828,287.5769,278.067,287.989,288.5503,287.6179,292.8767,283.7463,294.4896,297.2981,284.2755,294.9872,295.8616,300.735,289.5248,296.5155,301.1886,296.6243,286.9382,295.0499,293.4472,292.3724,293.9469,286.3862,295.5516,290.5575,288.1,1.8438,290.9059,288.3583,290.2757,199.477,299.72,293.7715,285.668,44.06,170.1257,301.1624,294.2855,279.4604,249.0616,149.6439,268.1391,275.422,296.3492,284.398,253.3847,301.1322
5,0.8869,1.9398,133.1966,295.0424,0.0,2.0168,9.5759,1.5142,10.2644,24.0459,130.8289,266.3939,2.3639,207.4864,293.77,62.3981,7.1889,1.7459,148.0497,279.3083,33.5598,293.5815,6.9241,283.6941,24.1399,11.0618,297.1804,62.9054,2.0735,8.6608,7.7733,264.0354,78.094,134.0128,57.9968,261.2705,134.029,291.9037,333.2018,134.4694,0.9002,4.7348,121.3006,135.6166,0.3168,3.1978,4.2867,4.7134,4.5626,3.2429,1.6777,3.9598,11.4224,3.0686,3.1709,5.2977,5.4548,4.7199,9.6034,22.1995,46.1234,37.6735,1.5739,5.4899,10.1738,12.38,3.7204,7.76,6.4806,5.9463,8.3716,9.7163,8.6352,5.2289,6.6412,1.0326,2.931,7.9845,8.4686,22.2742,7.4077,12.37,9.5815,8.3403,13.1345,2.0327,2.9041,14.1772,12.1166,2.6899,7.2827,8.9331,7.1511,7.7449,3.7529,13.8593,0.8208,2.2699,7.7791,5.8698,9.8933,9.9816,7.3385,12.1637,294.1047,18.2403,8.7848,12.409,117.52,6.9453,6.9283,25.8239,262.2314,135.6226,8.9364,1.815,26.8483,61.0061,155.3168,39.5132,30.857,4.5783,35.5085,59.2897,13.7275
6,2.7578,1.8137,135.1178,296.7183,2.0168,0.0,11.5409,2.9493,12.0534,25.9772,132.765,268.1769,3.3448,209.2975,295.4482,64.406,8.4499,2.8299,149.994,281.0214,35.5004,295.241,8.2433,285.3115,26.0131,13.078,298.858,64.9064,4.079,8.1224,9.7624,265.812,80.1107,135.9477,60.004,263.0503,135.9852,293.5891,335.1003,136.3857,2.3031,3.1736,123.2472,137.5281,2.249,4.733,6.0633,6.5894,5.8713,5.2426,3.2335,5.3196,11.348,1.1584,4.3378,5.5598,7.431,6.6952,11.5979,20.1877,46.21,37.6351,2.7186,6.9168,12.0048,10.4317,5.4339,9.759,7.6185,7.8219,8.0543,11.4295,9.7098,3.4874,7.1524,2.2116,1.2763,9.2923,10.4761,24.284,8.8062,14.2434,11.5927,9.9651,15.1473,2.3819,3.0169,16.1851,13.3849,1.6805,5.2769,10.8756,8.1449,7.37,4.5389,15.7778,1.6949,3.3091,9.4968,7.4385,11.9027,11.1807,9.2789,14.0725,295.7746,19.8013,10.7927,14.1535,118.4742,5.0151,6.426,27.5472,264.0163,137.5543,6.9911,3.6903,28.7685,63.0201,157.2191,41.4991,32.8155,5.5371,37.1723,61.2912,14.1756
7,9.0836,10.4342,125.194,288.7514,9.5759,11.5409,0.0,9.4795,2.7907,14.4935,122.6929,259.3889,8.899,200.3064,287.4644,52.9564,6.5353,9.0797,139.8242,272.7776,23.9916,287.398,9.6555,277.7834,14.7297,3.2049,290.8774,53.4138,7.5157,13.7466,1.8839,257.0765,68.8242,125.8853,48.5507,254.2899,125.6974,285.5519,323.6708,126.509,9.2906,13.3481,113.0743,127.6963,9.3074,7.2695,5.7285,5.0408,9.3196,6.3503,8.4456,7.2253,13.9647,12.6411,8.1357,10.0169,4.1226,5.8591,0.8247,31.6637,49.1869,41.4875,9.1047,8.9213,2.2734,21.9557,6.3982,3.8729,7.1639,6.231,12.8981,3.4429,7.5992,14.0521,9.5303,9.938,12.4912,6.2684,3.3831,12.9171,9.4031,3.2834,1.6051,4.1974,5.0253,10.7986,10.1299,4.918,7.85,12.0785,16.8053,0.7992,7.7705,12.7128,8.7736,4.3946,10.2068,9.9724,3.6212,5.4081,3.3511,7.2933,2.2964,2.8232,287.8535,10.6286,1.5486,4.4434,115.6617,16.5212,14.8172,16.987,255.2146,127.5235,18.5119,7.8578,17.3113,51.646,147.4603,29.9683,21.2811,8.1306,26.7901,49.8017,13.3071
9,0.8383,3.4322,132.2212,293.7821,1.5142,2.9493,9.4795,0.0,10.5689,23.9595,129.8834,265.2278,3.7375,206.3506,292.5115,61.9714,8.149,3.1512,147.1218,278.0775,33.4292,292.3092,5.4542,282.393,24.1906,10.5359,295.9214,62.5256,2.2538,10.1749,7.6088,262.8627,77.5443,133.0647,57.5767,260.1011,133.1297,290.6506,333.1335,133.4848,2.3414,6.0167,120.3785,134.6233,1.6654,4.1409,4.8243,5.0296,3.0755,3.2558,2.8402,4.9874,12.889,3.6785,4.3876,6.7459,5.4271,4.0107,9.3765,22.7295,44.7159,36.3083,2.9818,4.051,10.4045,12.6997,4.4026,7.0979,7.5476,4.9391,9.8774,10.1487,9.6927,6.4147,8.0004,0.7381,3.3317,8.8879,7.8561,21.867,5.9669,12.4859,9.2318,8.9193,12.5349,1.3192,4.4135,13.8174,12.9857,2.6961,7.8691,8.9229,8.2879,9.2554,5.1024,13.8548,1.268,0.8437,8.2478,6.5942,9.2811,10.9314,7.3718,12.1999,292.84,18.7817,8.4797,12.7563,116.0123,7.3178,5.9587,26.128,261.0673,134.6679,9.2947,2.5349,26.7842,60.5203,154.307,39.221,30.6763,5.8168,35.8749,58.9081,15.0423
10,9.9917,10.6266,126.5363,290.6737,10.2644,12.0534,2.7907,10.5689,0.0,14.2039,123.9711,261.0932,8.9582,201.9601,289.3828,53.2302,5.0931,9.3113,141.0474,274.632,23.7141,289.3504,11.8905,279.8093,14.0222,5.846,292.7961,53.5815,8.3686,12.4791,3.897,258.7967,69.3246,127.166,48.8261,256.0032,126.8708,287.4573,323.105,127.8705,9.7527,13.2397,114.3124,129.0757,9.96,7.3703,5.9964,5.5758,11.1305,7.3152,8.8205,7.0019,12.0385,13.2064,8.0281,9.194,5.2685,7.6041,3.6122,31.7369,51.852,44.0629,9.386,10.9446,0.5286,22.4185,6.6198,6.4046,5.9541,8.3974,11.5647,1.0094,5.6376,13.9853,8.2815,10.8661,13.168,4.5194,6.0541,13.6748,11.7345,2.4721,4.3954,2.5378,7.3503,11.852,10.0129,6.3984,5.1099,12.9302,17.1471,2.5069,6.3027,11.5205,8.4047,4.2371,11.0101,11.2143,2.6195,4.8268,6.141,4.9144,3.4542,2.6767,289.7871,8.4154,4.217,2.1956,118.3574,17.0535,16.3236,15.5752,256.9154,128.8173,19.0031,8.4499,16.9161,52.0577,148.8592,30.049,21.1615,7.5334,25.3065,49.9856,10.8342
