,Unnamed: 0,分行別,分行代碼,分行地址,分行縣市,裁撤備註,代收付處收現記號,調度中心,優先預測分行,優先預測原因,座標,x,y
0,0,世貿分行,1,台北市大安區信義路4段46號1至4樓,台北市,,,,,,"('25.033123', '121.544931')",25.033123,121.544931
1,1,敦北分行,2,台北市松山區敦化北路209號1樓、207號2樓、2樓-1,台北市,,,,,,"('25.058113', '121.549506')",25.058113,121.549506
2,2,台中分行,3,台中市西區自由路一段101號1、2、3樓,台中市,,Y,Y,,,"('24.137747', '120.679313')",24.137747,120.679313
3,3,高雄分行,4,高雄市苓雅區中正二路143號,高雄市,,,Y,,,"('22.630254', '120.314795')",22.630254,120.314795
4,4,忠孝分行,5,台北市大安區敦化南路1段236巷1號、3號1樓及地下室,台北市,,,,,,"('25.040664', '121.547884')",25.040664,121.547884
5,5,西松分行,6,台北市松山區東興路12號1樓,台北市,,,,,,"('25.049941', '121.565081')",25.049941,121.565081
6,6,板新分行,7,新北市板橋區民權路186 號1、2、3樓,新北市,,Y,,,,"('25.016344', '121.456836')",25.016344,121.456836
7,7,信託部,8,台北市中山區南京東路3段36號3、4樓,台北市,,,,,,"('25.051815', '121.538218')",25.051815,121.538218
8,8,敦南分行,9,台北市大安區安和路2段187號地下1層之1,台北市,,,,,,"('25.027132', '121.550006')",25.027132,121.550006
9,9,新泰分行,10,新北市新莊區新泰路229號1、2樓及地下1樓,新北市,,,,,,"('25.039591', '121.44618')",25.039591,121.44618
10,10,桃園分行,11,桃園市桃園區復興路51號1、2、3、4樓及51之1號1、2、4樓,桃園市,,,Y,,,"('24.990896', '121.316003')",24.990896,121.316003
11,11,北台中分行,12,台中市北屯區文心路三段1027號1、2、3樓,台中市,,,,Y,自動化程度高,"('24.173909', '120.670256')",24.173909,120.670256
12,12,台南分行,13,台南市南區健康路二段114號1、2、3樓及地下層,台南市,,,Y,,,"('22.981614', '120.194551')",22.981614,120.194551
13,13,國外部,14,台北市中山區南京東路3段36號5樓,台北市,,,,,,"('25.051815', '121.538218')",25.051815,121.538218
14,14,松江分行,15,台北市中山區松江路192號1、2、3樓,台北市,,,,Y,辦公區,"('25.05704', '121.532863')",25.05704,121.532863
15,15,嘉義分行,16,嘉義市西區興業西路338號1樓、336之1號2樓、336之1號3樓之1,嘉義市,,,,,,"('23.467891', '120.437924')",23.467891,120.437924
16,16,三民分行,17,高雄市三民區民族一路78號1、2樓及82號1、2樓,高雄市,,,,,,"('22.642975', '120.314698')",22.642975,120.314698
17,17,新竹分行,18,新竹市東區光復路二段293號1樓、295號1樓、2樓之1 、之2,新竹市,,,Y,Y,區中心，交易量多,"('24.800095', '120.989337')",24.800095,120.989337
18,18,三重分行,19,新北市三重區忠孝路二段80號1、2樓及地下1樓,新北市,,,,,,"('25.069805', '121.484226')",25.069805,121.484226
19,19,國際金融業務分行,20,台北市中山區建國北路2段9之1號11樓,台北市,,,,,,"('25.053098', '121.537252')",25.053098,121.537252
20,20,台北分行,21,台北市中山區建國北路二段9之1號1樓及地下1樓,台北市,,,,,,"('25.053098', '121.537252')",25.053098,121.537252
21,21,彰化分行,22,彰化縣彰化市民族路317號1、2、3樓,彰化縣,,,,,,"('24.0732542', '120.5394828')",24.0732542,120.5394828
22,22,岡山分行,23,高雄市岡山區大德一路1號1至5樓及地下1樓,高雄市,,,,,,"('22.796577', '120.296238')",22.796577,120.296238
23,23,中壢分行,24,桃園市中壢區慈惠三街160號,桃園市,,,,,,"('24.965122', '121.225937')",24.965122,121.225937
24,24,鳳山分行,25,高雄市鳳山區光遠路364號1、2、3樓、366號1、2、3、4樓,高雄市,,Y,,Y,區域交易量多,"('22.62618', '120.358611')",22.62618,120.358611
25,25,北新分行,27,新北市新店區北新路二段260、262號1樓、262號3樓及3樓之1,新北市,,,,,,"('24.978322', '121.542901')",24.978322,121.542901
26,26,屏東分行,28,屏東縣屏東市復興北路14號,屏東縣,,,,,,"('22.671498', '120.489136')",22.671498,120.489136
27,27,北桃園分行,29,桃園市桃園區春日路656號1樓及地下1層,桃園市,,,,,,"('25.01011', '121.31107')",25.01011,121.31107
28,28,學府分行,30,新北市土城區學府路一段124號1、2樓及地下1樓,新北市,,,,,,"('24.987453', '121.455149')",24.987453,121.455149
29,29,南高雄分行,31,高雄市苓雅區中華四路100號1樓及地下1樓,高雄市,,,,,,"('22.614507', '120.301961')",22.614507,120.301961
